d1 number of elements:  1000
	First Element: 0.0465479015435666
	Sorted
	First Sorted Distance: 0.0436262405906764
Cluster Count: 121	Start Value: 0.08802087	End Value: 0.08902087
Cluster Count: 134	Start Value: 0.08902087	End Value: 0.09002087
Cluster Count: 133	Start Value: 0.09002087	End Value: 0.09102087
Cluster Count: 132	Start Value: 0.09102087	End Value: 0.09202087
Cluster Count: 108	Start Value: 0.09202087	End Value: 0.09302087
Cluster Count: 65	Start Value: 0.09302087	End Value: 0.09402087
Cluster Count: 26	Start Value: 0.09402087	End Value: 0.09502088
Cluster Count: 7	Start Value: 0.09502088	End Value: 0.09602087
Cluster Count: 7	Start Value: 0.09602087	End Value: 0.09702087
Cluster Count: 0	Start Value: 0.09702087	End Value: 0.09802087
Cluster Count: 0	Start Value: 0.09802087	End Value: 0.09902088
Cluster Count: 0	Start Value: 0.09902088	End Value: 0.1000209
Cluster Count: 1	Start Value: 0.1000209	End Value: 0.1010209
d7 number of elements:  1000
	First Element: 0.0290694497430243
	Sorted
	First Sorted Distance: 0.0134441051283956
	Clustering Elements
Cluster Count: 1	Start Value: 0.01344411	End Value: 0.01444411
Cluster Count: 1	Start Value: 0.01444411	End Value: 0.01544411
Cluster Count: 2	Start Value: 0.01544411	End Value: 0.01644411
Cluster Count: 9	Start Value: 0.01644411	End Value: 0.01744411
Cluster Count: 9	Start Value: 0.01744411	End Value: 0.01844411
Cluster Count: 30	Start Value: 0.01844411	End Value: 0.01944411
Cluster Count: 39	Start Value: 0.01944411	End Value: 0.02044411
Cluster Count: 63	Start Value: 0.02044411	End Value: 0.0214441
Cluster Count: 78	Start Value: 0.0214441	End Value: 0.0224441
Cluster Count: 111	Start Value: 0.0224441	End Value: 0.0234441
Cluster Count: 138	Start Value: 0.0234441	End Value: 0.02444411
Cluster Count: 167	Start Value: 0.02444411	End Value: 0.02544411
Cluster Count: 130	Start Value: 0.02544411	End Value: 0.02644411
Cluster Count: 96	Start Value: 0.02644411	End Value: 0.02744411
Cluster Count: 55	Start Value: 0.02744411	End Value: 0.02844411
Cluster Count: 34	Start Value: 0.02844411	End Value: 0.02944411
Cluster Count: 16	Start Value: 0.02944411	End Value: 0.03044411
Cluster Count: 9	Start Value: 0.03044411	End Value: 0.03144411
Cluster Count: 8	Start Value: 0.03144411	End Value: 0.0324441
Cluster Count: 3	Start Value: 0.0324441	End Value: 0.03344411
Cluster Count: 1	Start Value: 0.03344411	End Value: 0.0344441
d8 number of elements:  1000
	First Element: 0.0343599197867924
	Sorted
	First Sorted Distance: 0.0232894920767905
	Clustering Elements
Cluster Count: 4	Start Value: 0.02328949	End Value: 0.02428949
Cluster Count: 1	Start Value: 0.02428949	End Value: 0.02528949
Cluster Count: 12	Start Value: 0.02528949	End Value: 0.02628949
Cluster Count: 17	Start Value: 0.02628949	End Value: 0.02728949
Cluster Count: 40	Start Value: 0.02728949	End Value: 0.02828949
Cluster Count: 61	Start Value: 0.02828949	End Value: 0.02928949
Cluster Count: 93	Start Value: 0.02928949	End Value: 0.03028949
Cluster Count: 146	Start Value: 0.03028949	End Value: 0.03128949
Cluster Count: 152	Start Value: 0.03128949	End Value: 0.03228949
Cluster Count: 162	Start Value: 0.03228949	End Value: 0.03328949
Cluster Count: 122	Start Value: 0.03328949	End Value: 0.03428949
Cluster Count: 92	Start Value: 0.03428949	End Value: 0.03528949
Cluster Count: 64	Start Value: 0.03528949	End Value: 0.03628949
Cluster Count: 24	Start Value: 0.03628949	End Value: 0.03728949
Cluster Count: 7	Start Value: 0.03728949	End Value: 0.03828949
Cluster Count: 2	Start Value: 0.03828949	End Value: 0.03928949
Cluster Count: 1	Start Value: 0.03928949	End Value: 0.04028949
d9 number of elements:  1000
	First Element: 0.0334846284360201
	Sorted
	First Sorted Distance: 0.0206220220018276
	Clustering Elements
Cluster Count: 1	Start Value: 0.02062202	End Value: 0.02162202
Cluster Count: 2	Start Value: 0.02162202	End Value: 0.02262202
Cluster Count: 1	Start Value: 0.02262202	End Value: 0.02362202
Cluster Count: 12	Start Value: 0.02362202	End Value: 0.02462202
Cluster Count: 21	Start Value: 0.02462202	End Value: 0.02562202
Cluster Count: 39	Start Value: 0.02562202	End Value: 0.02662202
Cluster Count: 52	Start Value: 0.02662202	End Value: 0.02762202
Cluster Count: 49	Start Value: 0.02762202	End Value: 0.02862202
Cluster Count: 105	Start Value: 0.02862202	End Value: 0.02962202
Cluster Count: 135	Start Value: 0.02962202	End Value: 0.03062202
Cluster Count: 149	Start Value: 0.03062202	End Value: 0.03162202
Cluster Count: 139	Start Value: 0.03162202	End Value: 0.03262202
Cluster Count: 112	Start Value: 0.03262202	End Value: 0.03362202
Cluster Count: 87	Start Value: 0.03362202	End Value: 0.03462202
Cluster Count: 64	Start Value: 0.03462202	End Value: 0.03562202
Cluster Count: 19	Start Value: 0.03562202	End Value: 0.03662202
Cluster Count: 10	Start Value: 0.03662202	End Value: 0.03762202
Cluster Count: 2	Start Value: 0.03762202	End Value: 0.03862202
Cluster Count: 1	Start Value: 0.03862202	End Value: 0.03962202
d10 number of elements:  1000
	First Element: 0.0411480875716248
	Sorted
	First Sorted Distance: 0.0393417011174495
	Clustering Elements
Cluster Count: 8	Start Value: 0.0393417	End Value: 0.0403417
Cluster Count: 111	Start Value: 0.0403417	End Value: 0.0413417
Cluster Count: 311	Start Value: 0.0413417	End Value: 0.0423417
Cluster Count: 283	Start Value: 0.0423417	End Value: 0.0433417
Cluster Count: 195	Start Value: 0.0433417	End Value: 0.0443417
Cluster Count: 77	Start Value: 0.0443417	End Value: 0.0453417
Cluster Count: 13	Start Value: 0.0453417	End Value: 0.0463417
Cluster Count: 2	Start Value: 0.0463417	End Value: 0.0473417
d11 number of elements:  1000
	First Element: 0.0425966295410164
	Sorted
	First Sorted Distance: 0.0368810626143256
	Clustering Elements
Cluster Count: 7	Start Value: 0.03688106	End Value: 0.03788106
Cluster Count: 22	Start Value: 0.03788106	End Value: 0.03888106
Cluster Count: 47	Start Value: 0.03888106	End Value: 0.03988106
Cluster Count: 103	Start Value: 0.03988106	End Value: 0.04088106
Cluster Count: 137	Start Value: 0.04088106	End Value: 0.04188106
Cluster Count: 174	Start Value: 0.04188106	End Value: 0.04288106
Cluster Count: 181	Start Value: 0.04288106	End Value: 0.04388106
Cluster Count: 157	Start Value: 0.04388106	End Value: 0.04488106
Cluster Count: 91	Start Value: 0.04488106	End Value: 0.04588106
Cluster Count: 50	Start Value: 0.04588106	End Value: 0.04688106
Cluster Count: 27	Start Value: 0.04688106	End Value: 0.04788106
Cluster Count: 4	Start Value: 0.04788106	End Value: 0.04888106
d12 number of elements:  1000
	First Element: 0.0443542480985206
	Sorted
	First Sorted Distance: 0.0361414592929367
	Clustering Elements
Cluster Count: 7	Start Value: 0.03614146	End Value: 0.03714146
Cluster Count: 13	Start Value: 0.03714146	End Value: 0.03814146
Cluster Count: 34	Start Value: 0.03814146	End Value: 0.03914146
Cluster Count: 74	Start Value: 0.03914146	End Value: 0.04014146
Cluster Count: 136	Start Value: 0.04014146	End Value: 0.04114146
Cluster Count: 146	Start Value: 0.04114146	End Value: 0.04214146
Cluster Count: 152	Start Value: 0.04214146	End Value: 0.04314146
Cluster Count: 176	Start Value: 0.04314146	End Value: 0.04414146
Cluster Count: 117	Start Value: 0.04414146	End Value: 0.04514146
Cluster Count: 85	Start Value: 0.04514146	End Value: 0.04614146
Cluster Count: 42	Start Value: 0.04614146	End Value: 0.04714146
Cluster Count: 13	Start Value: 0.04714146	End Value: 0.04814146
Cluster Count: 3	Start Value: 0.04814146	End Value: 0.04914146
Cluster Count: 2	Start Value: 0.04914146	End Value: 0.05014146
d13 number of elements:  1000
	First Element: 0.0252519299238125
	Sorted
	First Sorted Distance: 0.0211497522081436
	Clustering Elements
Cluster Count: 52	Start Value: 0.02114975	End Value: 0.02214975
Cluster Count: 31	Start Value: 0.02214975	End Value: 0.02314975
Cluster Count: 396	Start Value: 0.02314975	End Value: 0.02414975
Cluster Count: 309	Start Value: 0.02414975	End Value: 0.02514975
Cluster Count: 148	Start Value: 0.02514975	End Value: 0.02614975
Cluster Count: 51	Start Value: 0.02614975	End Value: 0.02714975
